0,"If a driver exceeds the posted speed limit, they may receive a speeding ticket","If a driver exceeds the posted speed limit in a life-threatening emergency situation, they may be exempt from receiving a speeding ticket or citation","A driver was speeding through a school zone while children were present. | A driver was speeding very high in a residential area. | A driver was driving at 65 mph in a 45 mph zone. | John Smith was driving his car on Elm Street, a residential area with a posted speed limit of 30 mph. However, he was recorded by a speed camera exceeding the speed limit at 45 mph."
1,"If a vehicle owner does not wear a helmet while driving, he may be fined"," If a vehicle owner does not wear a helmet due to a medical condition certified by a licensed physician, they may not be fined","Robert, a vehicle owner, was riding his motorcycle without wearing a helmet. | Sarah, a college student, rides her moped to the nearby grocery store without wearing a helmet. | John, an avid motorcyclist, decides to go for a short ride without wearing a helmet. | John forgot his helmet at home hence was driving his bike without wearing helmet."
2," If a driver fails to yield to pedestrians in a crosswalk, they may receive a citation or penalty"," If a driver fails to yield to pedestrians in a crosswalk due to a mechanical failure in their vehicle's braking system, they may be exempt from receiving a citation or penalty","Jane, a pedestrian, was crossing a marked crosswalk at an intersection. John, the driver of a car, failed to yield to Jane and continued driving, narrowly missing her. | Emma, running late for work, hastily approaches a pedestrian crosswalk without slowing down. She fails to yield to pedestrians already crossing. | Mark, engrossed in his phone conversation while driving, doesn't notice the pedestrians waiting to cross at the crosswalk ahead. He drives past without yielding them. | John, a new driver, finds himself uncertain about the rules at an unmarked crosswalk. He fails to yield to pedestrians crossing."
3," If a driver is caught driving under the influence of drugs or alcohol, they may face legal consequences and/or have their license suspended"," If a driver is caught driving under the influence of drugs or alcohol but can prove they were unknowingly drugged or intoxicated, they may have a chance to defend against legal consequences and/or license suspension","John Smith, a 35-year-old driver, was pulled over by a police officer for erratic driving behavior. Upon suspicion of driving under the influence, the officer conducted a breathalyzer test, which indicated a blood alcohol concentration (BAC) level above the legal limit. As a result, John was charged with driving under the influence of alcohol."
4," If a driver fails to stop at a stop sign or red light, they may receive a traffic ticket or citation"," If a driver fails to stop at a stop sign or red light due to a signal malfunction, they may be exempt from receiving a traffic ticket or citation","A motorist drives through a red light at an intersection. | A driver is pulled over for running a red light. | The driver ran a red light while turning right. | A driver runs a red light and hits a pedestrian crossing the street. | A person is driving his car and approaches a stop sign at an intersection. However, he fails to come to a complete stop and continues driving through the intersection without yielding to other vehicles."
5," If a driver parks in a no-parking zone, they may receive a parking ticket and/or have their vehicle towed"," If a driver parks in a no-parking zone to avoid a serious accident or prevent a hazardous situation, they may be exempt from receiving a parking ticket or having their vehicle towed","Sarah, new to the area, unknowingly parks her car in a designated no-parking zone. | Mike, a delivery driver in a hurry, decides to park his vehicle in a clearly marked no-parking zone to make a quick delivery. | Emily parks her car on a street designated as a no-parking zone during specific hours for street cleaning. | John, a driver, parked his car in a designated no-parking zone on Main Street. The area was clearly marked with ""No Parking"" signs."
6,"If a driver uses their phone while driving, they may be fined or receive a citation"," If a driver uses their phone while driving for emergency purposes, such as contacting emergency services or a tow truck, they may be exempt from receiving a citation or penalty","Sarah receives an important message while driving and decides to reply to it. She takes out her phone and starts texting while behind the wheel. | A person was talking on phone while driving. | On June 15th, 2022, John Smith was driving his car on Main Street. While driving, he received a text message on his phone and decided to read and reply to it without pulling over or using a hands-free device. | Emily, on a road trip with friends, decides to take selfies with them while driving on the highway. "
7,"If a driver fails to wear a seatbelt while driving, they may receive a ticket or citation"," If a driver fails to wear a seatbelt due to a medical condition with proper documentation, they may be exempt from receiving a ticket or citation","John, driving with a friend in the passenger seat, neglects to fasten his seatbelt. | On June 15th, 2022, John Smith was driving his car on Main Street without wearing a seatbelt. | Lisa rents a car for a weekend getaway but forgets to put on her seatbelt while driving. | David passes through an intersection monitored by traffic cameras. The cameras capture him not wearing a seatbelt. "
8,"If a driver passes a school bus with its stop sign and lights activated, they may receive a ticket or citation"," If a driver passes a school bus with its stop sign and lights activated but can prove they didn't notice the signs due to an obstructed view, they may have a chance to defend against a ticket or citation","Sarah is running late for work and impatiently overtakes a stopped school bus that has its stop sign extended and lights activated. |  Mark, driving through a less crowded road, fails to stop behind a school bus picking up children. | On a sunny morning, John Doe was driving his car on a residential street. As he approached a school bus that had stopped to pick up children, the bus extended its stop sign and activated its flashing red lights, indicating that all traffic must stop. However, John Doe failed to stop and proceeded to pass the school bus. | John, driving through a remote area, encounters a school bus stopped at an intersection. He decides to pass the bus without stopping, thinking no one is around to see."
9,"If a driver violates a carpool lane by driving solo, they may receive a ticket or citation"," If a driver violates a carpool lane by driving solo but can demonstrate a valid emergency situation, they may be exempt from receiving a ticket or citation","Sarah, running late for a meeting, decides to use the carpool lane despite being the only person in the vehicle. | Mark, new to the area, unknowingly enters the carpool lane without any passengers in his car. | John, stuck in a traffic jam, decides to use the carpool lane to avoid the congestion, even though he's the only person in the car. | John Doe was driving alone in his vehicle on a busy highway during rush hour. He entered the designated carpool lane, which is reserved for vehicles with two or more occupants, without any passengers in his car."
